Season,Fish,Latitude,Longitude
0_2021_Tagging,34-11,65.3581,-146.6131
0_2021_Tagging,34-12,65.3564,-146.6167
0_2021_Tagging,34-13,65.3531,-146.6259
0_2021_Tagging,34-14,65.3511,-146.639
0_2021_Tagging,34-15,65.3511,-146.639
0_2021_Tagging,34-16,65.3678,-147.086
0_2021_Tagging,34-17,65.3653,-147.0797
0_2021_Tagging,34-18,65.3659,-147.0778
0_2021_Tagging,34-19,65.3674,-147.0791
0_2021_Tagging,34-20,65.457,-147.718
0_2021_Tagging,34-21,65.3356,-146.7325
0_2021_Tagging,34-22,65.3408,-146.712
0_2021_Tagging,34-23,65.3293,-146.7898
0_2021_Tagging,34-24,65.3338,-146.8391
0_2021_Tagging,34-25,65.3397,-146.7151
0_2021_Tagging,34-26,65.3491,-147.0034
0_2021_Tagging,34-27,65.3293,-146.7898
0_2021_Tagging,34-28,65.3303,-146.7638
0_2021_Tagging,34-29,65.3332,-146.8126
0_2021_Tagging,34-30,65.3397,-146.7151
0_2021_Tagging,34-31,65.3338,-146.8391
0_2021_Tagging,34-32,65.3338,-146.8391
0_2021_Tagging,34-33,65.3386,-146.959
0_2021_Tagging,34-34,65.3342,-146.8337
0_2021_Tagging,34-35,65.3336,-146.8146
0_2021_Tagging,34-36,65.3336,-146.8146
0_2021_Tagging,34-37,65.3364,-146.8654
0_2021_Tagging,34-38,65.3354,-146.8769
0_2021_Tagging,34-39,65.336,-146.8983
0_2021_Tagging,34-40,65.3372,-146.903
0_2021_Tagging,34-41,65.3372,-146.903
0_2021_Tagging,34-42,65.3384,-146.9138
0_2021_Tagging,34-43,65.3491,-147.0034
0_2021_Tagging,34-44,65.3546,-147.0186
0_2021_Tagging,34-45,65.3405,-146.9864
0_2021_Tagging,34-46,65.3546,-147.0186
0_2021_Tagging,34-47,65.3386,-146.959
0_2021_Tagging,34-48,65.3405,-146.9864
0_2021_Tagging,34-49,65.4782,-146.5787
0_2021_Tagging,34-50,65.3674,-147.0791
0_2021_Tagging,34-51,65.3812,-147.1019
0_2021_Tagging,34-52,65.3833,-147.1038
0_2021_Tagging,34-53,65.3833,-147.1038
0_2021_Tagging,34-54,65.3831,-147.11
0_2021_Tagging,34-55,65.3831,-147.11
0_2021_Tagging,34-56,65.3831,-147.11
0_2021_Tagging,34-57,65.3956,-147.1921
0_2021_Tagging,34-58,65.3956,-147.1921
0_2021_Tagging,34-59,65.3947,-147.2998
0_2021_Tagging,34-60,65.3947,-147.2998
0_2021_Tagging,34-61,65.3844,-147.3306
0_2021_Tagging,34-62,65.3844,-147.3306
0_2021_Tagging,34-63,65.3844,-147.3306
0_2021_Tagging,34-64,65.3843,-147.4042
0_2021_Tagging,34-65,65.3843,-147.4042
0_2021_Tagging,34-66,65.3806,-147.4454
0_2021_Tagging,34-67,65.3806,-147.4454
0_2021_Tagging,34-68,65.3806,-147.4454
0_2021_Tagging,34-69,65.3771,-147.4479
0_2021_Tagging,34-70,65.3771,-147.4479
0_2021_Tagging,34-71,65.382,-147.5104
0_2021_Tagging,34-72,65.376,-147.6347
0_2021_Tagging,34-73,65.376,-147.6347
0_2021_Tagging,34-74,65.3774,-147.7458
0_2021_Tagging,34-75,65.3774,-147.7458
0_2021_Tagging,34-76,65.3774,-147.7458
0_2021_Tagging,34-77,65.3774,-147.7458
0_2021_Tagging,34-78,65.3893,-147.7737
0_2021_Tagging,34-79,65.3893,-147.7737
0_2021_Tagging,34-80,65.3893,-147.7737
0_2021_Tagging,34-81,65.418,-147.8126
0_2021_Tagging,34-82,65.418,-147.8126
0_2021_Tagging,34-83,65.418,-147.8126
0_2021_Tagging,34-84,65.4527,-147.7571
0_2021_Tagging,34-85,65.4527,-147.7571
0_2021_Tagging,34-86,65.4527,-147.7571
0_2021_Tagging,34-87,65.457,-147.718
0_2021_Tagging,34-88,65.457,-147.718
0_2021_Tagging,34-89,65.457,-147.718
0_2021_Tagging,34-91,65.4787,-147.6561
0_2021_Tagging,34-92,65.4787,-147.6561
0_2021_Tagging,34-93,65.4787,-147.6561
0_2021_Tagging,34-94,65.4787,-147.6561
0_2021_Tagging,34-95,65.5014,-147.655
0_2021_Tagging,34-96,65.5014,-147.655
0_2021_Tagging,34-97,65.5254,-147.6551
0_2021_Tagging,34-98,65.5254,-147.6551
0_2021_Tagging,34-99,65.5421,-147.6672
0_2021_Tagging,34-100,65.5421,-147.6672
0_2021_Tagging,34-101,65.5624,-147.6849
0_2021_Tagging,34-102,65.5624,-147.6849
0_2021_Tagging,34-103,65.5624,-147.6849
0_2021_Tagging,34-104,65.5624,-147.6849
0_2021_Tagging,34-105,65.5841,-147.6661
0_2021_Tagging,34-106,65.5841,-147.6661
0_2021_Tagging,34-107,65.5841,-147.6661
0_2021_Tagging,34-108,65.6113,-147.6503
0_2021_Tagging,34-109,65.6113,-147.6503
0_2021_Tagging,34-110,65.6113,-147.6503
0_2021_Tagging,34-111,65.6504,-147.5846
0_2021_Tagging,34-112,65.6504,-147.5846
0_2021_Tagging,34-113,65.6504,-147.5846
0_2021_Tagging,34-114,65.6677,-147.5472
0_2021_Tagging,34-115,65.6677,-147.5472
0_2021_Tagging,34-116,65.6677,-147.5472
0_2021_Tagging,34-117,65.6677,-147.5472
0_2021_Tagging,34-118,65.6941,-147.4814
0_2021_Tagging,34-119,65.6941,-147.4814
0_2021_Tagging,34-120,65.6941,-147.4814
0_2021_Tagging,34-121,65.6941,-147.4814
0_2021_Tagging,34-122,65.7241,-147.4338
0_2021_Tagging,34-123,65.7241,-147.4338
0_2021_Tagging,34-124,65.728,-147.3431
0_2021_Tagging,34-125,65.728,-147.3431
0_2021_Tagging,34-126,65.7575,-147.1752
0_2021_Tagging,34-127,65.7575,-147.1752
0_2021_Tagging,34-128,65.7575,-147.1752
0_2021_Tagging,34-129,65.7581,-147.1157
0_2021_Tagging,34-130,65.7581,-147.1157
0_2021_Tagging,34-131,65.7581,-147.1157
0_2021_Tagging,34-132,65.7397,-147.0796
0_2021_Tagging,34-133,65.7397,-147.0796
0_2021_Tagging,34-134,65.7397,-147.0796
0_2021_Tagging,34-135,65.7276,-146.9742
0_2021_Tagging,34-136,65.7276,-146.9742
0_2021_Tagging,34-137,65.7345,-146.949
0_2021_Tagging,34-138,65.7324,-146.9258
0_2021_Tagging,34-139,65.7324,-146.9258
0_2021_Tagging,34-140,65.737,-146.8903
0_2021_Tagging,34-141,65.5347,-146.5772
0_2021_Tagging,34-142,65.5347,-146.5772
0_2021_Tagging,34-143,65.5347,-146.5772
0_2021_Tagging,34-144,65.5347,-146.5772
0_2021_Tagging,34-145,65.5347,-146.5772
0_2021_Tagging,34-146,65.5347,-146.5772
0_2021_Tagging,34-147,65.5333,-146.5882
0_2021_Tagging,34-148,65.5333,-146.5882
0_2021_Tagging,34-149,65.5333,-146.5882
0_2021_Tagging,34-150,65.5333,-146.5882
0_2021_Tagging,34-151,65.5333,-146.6049
0_2021_Tagging,34-152,65.5335,-146.6059
0_2021_Tagging,34-153,65.5335,-146.6059
0_2021_Tagging,34-154,65.5335,-146.6059
0_2021_Tagging,34-155,65.5335,-146.6059
0_2021_Tagging,34-156,65.4782,-146.5787
0_2021_Tagging,34-157,65.4763,-146.5825
0_2021_Tagging,34-158,65.4763,-146.5825
0_2021_Tagging,34-159,65.4023,-146.6794
0_2021_Tagging,34-160,65.4023,-146.6794
1_2022_Overwintering,34-100,65.54,-147.6696
1_2022_Overwintering,34-102,65.5603,-147.6877
1_2022_Overwintering,34-103,65.5779,-147.6857
1_2022_Overwintering,34-104,65.5261,-147.6582
1_2022_Overwintering,34-105,65.5797,-147.6838
1_2022_Overwintering,34-106,65.6018,-147.6604
1_2022_Overwintering,34-107,65.7066,-147.4556
1_2022_Overwintering,34-108,65.6565,-147.5648
1_2022_Overwintering,34-109,65.6371,-147.6137
1_2022_Overwintering,34-11,65.4238,-147.7955
1_2022_Overwintering,34-110,65.6671,-147.5451
1_2022_Overwintering,34-111,65.6367,-147.615
1_2022_Overwintering,34-112,65.6583,-147.557
1_2022_Overwintering,34-113,65.6564,-147.569
1_2022_Overwintering,34-114,65.7476,-146.8501
1_2022_Overwintering,34-116,65.6819,-147.5036
1_2022_Overwintering,34-117,65.6685,-147.5424
1_2022_Overwintering,34-118,65.6506,-147.5825
1_2022_Overwintering,34-119,65.6829,-147.5023
1_2022_Overwintering,34-12,65.3873,-147.2601
1_2022_Overwintering,34-120,65.6927,-147.4823
1_2022_Overwintering,34-121,65.6779,-147.5115
1_2022_Overwintering,34-122,65.7164,-147.4399
1_2022_Overwintering,34-124,65.728,-146.9916
1_2022_Overwintering,34-125,65.7306,-147.324
1_2022_Overwintering,34-126,66.1028,-146.0993
1_2022_Overwintering,34-127,65.7518,-147.1736
1_2022_Overwintering,34-128,65.7551,-147.171
1_2022_Overwintering,34-129,65.7364,-147.0675
1_2022_Overwintering,34-13,65.3897,-147.1484
1_2022_Overwintering,34-130,65.732,-147.0549
1_2022_Overwintering,34-131,65.9448,-146.3072
1_2022_Overwintering,34-133,65.7602,-146.813
1_2022_Overwintering,34-134,65.7276,-147.011
1_2022_Overwintering,34-135,66.2191,-146.0655
1_2022_Overwintering,34-136,66.0451,-146.17
1_2022_Overwintering,34-139,65.7925,-146.6888
1_2022_Overwintering,34-14,65.3955,-147.1743
1_2022_Overwintering,34-141,65.3937,-147.22
1_2022_Overwintering,34-144,65.4488,-147.7507
1_2022_Overwintering,34-145,65.396,-147.1942
1_2022_Overwintering,34-146,65.3928,-147.136
1_2022_Overwintering,34-148,65.395,-147.2076
1_2022_Overwintering,34-149,65.3798,-147.6898
1_2022_Overwintering,34-15,65.404,-147.0503
1_2022_Overwintering,34-150,65.3837,-147.5534
1_2022_Overwintering,34-151,65.3913,-147.2305
1_2022_Overwintering,34-152,65.3808,-147.4273
1_2022_Overwintering,34-154,65.381,-147.7163
1_2022_Overwintering,34-155,65.3946,-147.2118
1_2022_Overwintering,34-156,65.3936,-147.291
1_2022_Overwintering,34-158,65.3794,-147.4563
1_2022_Overwintering,34-159,65.3842,-147.4031
1_2022_Overwintering,34-16,65.3955,-147.1944
1_2022_Overwintering,34-160,65.4037,-147.0396
1_2022_Overwintering,34-17,65.3823,-147.7028
1_2022_Overwintering,34-18,65.38,-147.4627
1_2022_Overwintering,34-19,65.3937,-147.3121
1_2022_Overwintering,34-21,65.4054,-147.0327
1_2022_Overwintering,34-22,65.3913,-147.2305
1_2022_Overwintering,34-23,65.3416,-146.9871
1_2022_Overwintering,34-24,65.3949,-147.209
1_2022_Overwintering,34-25,65.4978,-147.6457
1_2022_Overwintering,34-26,65.3938,-147.2245
1_2022_Overwintering,34-27,65.389,-147.3232
1_2022_Overwintering,34-28,65.3804,-147.6976
1_2022_Overwintering,34-29,65.7261,-147.4162
1_2022_Overwintering,34-30,65.3813,-147.4351
1_2022_Overwintering,34-31,65.3872,-147.2643
1_2022_Overwintering,34-32,65.3927,-147.1518
1_2022_Overwintering,34-33,65.3959,-147.1963
1_2022_Overwintering,34-34,65.3826,-147.6114
1_2022_Overwintering,34-35,65.3829,-147.1156
1_2022_Overwintering,34-36,65.3842,-147.4017
1_2022_Overwintering,34-37,65.7071,-147.46
1_2022_Overwintering,34-38,65.3806,-147.7064
1_2022_Overwintering,34-39,65.3872,-147.2621
1_2022_Overwintering,34-40,65.3914,-147.2284
1_2022_Overwintering,34-41,65.3895,-147.3237
1_2022_Overwintering,34-42,65.3956,-147.2005
1_2022_Overwintering,34-43,65.347,-147
1_2022_Overwintering,34-44,65.4052,-147.0425
1_2022_Overwintering,34-45,65.396,-147.2091
1_2022_Overwintering,34-46,65.3913,-147.2326
1_2022_Overwintering,34-47,65.3911,-147.1428
1_2022_Overwintering,34-48,65.3783,-147.6257
1_2022_Overwintering,34-49,65.3806,-147.6189
1_2022_Overwintering,34-50,65.3899,-147.1492
1_2022_Overwintering,34-51,65.3805,-147.1146
1_2022_Overwintering,34-52,65.396,-147.1942
1_2022_Overwintering,34-53,65.3835,-147.1163
1_2022_Overwintering,34-54,65.3925,-147.3152
1_2022_Overwintering,34-55,65.3805,-147.4474
1_2022_Overwintering,34-56,65.3931,-147.1666
1_2022_Overwintering,34-57,65.3805,-147.4365
1_2022_Overwintering,34-58,65.3808,-147.4288
1_2022_Overwintering,34-59,65.3807,-147.434
1_2022_Overwintering,34-61,65.387,-147.3275
1_2022_Overwintering,34-62,65.3928,-147.2968
1_2022_Overwintering,34-63,65.3846,-147.3676
1_2022_Overwintering,34-64,65.3832,-147.412
1_2022_Overwintering,34-65,65.3924,-147.2907
1_2022_Overwintering,34-66,65.3814,-147.4416
1_2022_Overwintering,34-67,65.378,-147.4542
1_2022_Overwintering,34-68,65.3955,-147.2153
1_2022_Overwintering,34-69,65.3877,-147.3256
