Date,Fish,Latitude,Longitude
Tagging,34-151,65.5333,-146.6049
Tagging,34-152,65.5335,-146.6059
Tagging,34-153,65.5335,-146.6059
Tagging,34-154,65.5335,-146.6059
Tagging,34-155,65.5335,-146.6059
Tagging,34-156,65.4782,-146.5787
Tagging,34-157,65.4763,-146.5825
Tagging,34-158,65.4763,-146.5825
Tagging,34-159,65.4023,-146.6794
Tagging,34-160,65.4023,-146.6794
12/22/2021,34-11,65.4240,-147.7994
12/22/2021,34-12,65.3939,-147.3112
12/22/2021,34-15,65.4048,-147.0356
12/22/2021,34-16,65.3955,-147.1944
12/22/2021,34-17,65.3823,-147.7028
12/22/2021,34-19rc,65.3937,-147.3121
12/22/2021,34-21,65.4108,-147.0061
12/22/2021,34-22,65.3956,-147.1924
12/22/2021,34-23rc,65.3452,-146.9794
12/22/2021,34-24rc,65.3936,-147.2385
12/22/2021,34-25,65.4978,-147.6457
12/22/2021,34-26,65.3921,-147.2436
12/22/2021,34-29,65.7189,-147.4260
12/22/2021,34-30,65.3820,-147.4298
12/22/2021,34-31,65.3928,-147.2172
12/22/2021,34-32,65.3927,-147.1518
12/22/2021,34-33,65.3934,-147.2065
12/22/2021,34-34,65.3825,-147.5946
12/22/2021,34-37,65.6997,-147.4696
12/22/2021,34-38,65.3765,-147.6617
12/22/2021,34-40,65.3884,-147.1355
12/22/2021,34-41,65.3878,-147.3290
12/22/2021,34-44rc,65.3976,-147.0560
12/22/2021,34-46,65.3944,-147.2288
12/22/2021,34-47,65.3927,-147.1518
12/22/2021,34-49,65.3814,-147.5760
12/22/2021,34-50,65.3894,-147.1388
12/22/2021,34-51,65.3886,-147.1147
12/22/2021,34-52,65.3928,-147.1538
12/22/2021,34-54,65.3939,-147.2893
12/22/2021,34-59,65.3814,-147.4383
12/22/2021,34-61rc,65.3888,-147.3268
12/22/2021,34-62,65.3939,-147.2893
12/22/2021,34-63,65.3837,-147.3581
12/22/2021,34-65,65.3935,-147.3131
12/22/2021,34-67,65.3817,-147.4362
12/22/2021,34-68,65.3939,-147.2239
12/22/2021,34-70,65.3799,-147.4473
12/22/2021,34-79,65.3920,-147.7836
12/22/2021,34-80rc,65.3984,-147.8121
12/22/2021,34-81,65.5496,-147.6833
12/22/2021,34-83,65.3978,-147.8339
12/22/2021,34-85,65.8019,-146.6378
12/22/2021,34-86,65.5531,-147.6868
12/22/2021,34-87,65.5309,-147.6663
12/22/2021,34-89,65.4011,-147.8417
12/22/2021,34-90,65.4150,-147.8179
12/22/2021,34-91,65.7204,-147.3690
12/22/2021,34-92,65.5381,-147.6712
12/22/2021,34-94,65.4893,-147.6375
12/22/2021,34-95,65.5127,-147.6602
12/22/2021,34-96,65.5091,-147.6577
12/22/2021,34-97,65.5600,-147.6889
12/22/2021,34-98,65.6034,-147.6543
12/22/2021,34-99,65.5488,-147.6823
12/22/2021,34-100,65.5368,-147.6702
12/22/2021,34-102,65.5572,-147.6888
12/22/2021,34-103,65.5833,-147.6709
12/22/2021,34-104,65.5213,-147.6617
12/22/2021,34-105,65.5793,-147.6767
12/22/2021,34-106,65.5963,-147.6591
12/22/2021,34-107,65.7069,-147.4573
12/22/2021,34-108,65.6610,-147.5523
12/22/2021,34-109,65.6412,-147.5981
12/22/2021,34-110,65.6663,-147.5430
12/22/2021,34-111,65.6419,-147.5965
12/22/2021,34-112,65.6591,-147.5558
12/22/2021,34-113,65.6567,-147.5613
12/22/2021,34-114,65.7612,-146.8004
12/22/2021,34-116,65.7008,-147.4677
12/22/2021,34-117,65.6633,-147.5485
12/22/2021,34-119,65.6864,-147.4946
12/22/2021,34-120,65.6896,-147.4873
12/22/2021,34-121,65.6823,-147.5044
12/22/2021,34-125,65.7286,-147.3372
12/22/2021,34-127,65.7516,-147.1695
12/22/2021,34-128,65.7465,-147.1709
12/22/2021,34-129,65.7325,-147.0532
12/22/2021,34-130,65.7329,-147.0564
12/22/2021,34-133,65.7589,-146.8050
12/22/2021,34-134,65.7273,-147.0096
12/22/2021,34-139,65.7906,-146.6960
12/22/2021,34-145,65.3941,-147.2249
12/22/2021,34-146,65.3899,-147.1102
12/22/2021,34-148,65.3944,-147.2278
12/22/2021,34-149,65.3788,-147.6508
12/22/2021,34-152,65.3826,-147.3827
12/22/2021,34-156,65.3943,-147.3072
12/22/2021,34-159,65.3820,-147.4309
12/22/2021,34-160,65.4060,-147.0067
3/15/2022,34-11,65.4238,-147.7955
3/15/2022,34-12,65.3873,-147.2601
3/15/2022,34-13,65.3897,-147.1484
3/15/2022,34-14,65.3932,-147.1759
3/15/2022,34-18,65.3778,-147.4553
3/15/2022,34-21,65.4054,-147.0327
3/15/2022,34-22,65.3913,-147.2305
3/15/2022,34-23,65.3416,-146.9871
3/15/2022,34-24,65.3960,-147.2091
3/15/2022,34-26,65.3959,-147.2091
3/15/2022,34-27,65.3890,-147.3232
3/15/2022,34-28,65.3803,-147.7016
3/15/2022,34-29,65.7261,-147.4162
3/15/2022,34-30,65.3813,-147.4351
3/15/2022,34-31,65.3872,-147.2643
3/15/2022,34-33,65.3959,-147.1963
3/15/2022,34-34,65.3826,-147.6114
3/15/2022,34-35,65.3829,-147.1156
3/15/2022,34-36,65.3836,-147.4024
3/15/2022,34-37,65.7071,-147.4600
3/15/2022,34-38,65.3806,-147.7064
3/15/2022,34-39,65.3872,-147.2621
3/15/2022,34-40,65.3914,-147.2284
3/15/2022,34-41,65.3890,-147.3232
3/15/2022,34-42,65.3956,-147.2005
3/15/2022,34-43,65.3470,-147.0000
3/15/2022,34-44,65.4041,-147.0455
3/15/2022,34-45,65.3960,-147.2091
3/15/2022,34-46,65.3913,-147.2326
3/15/2022,34-47,65.3897,-147.1484
3/15/2022,34-48,65.3783,-147.6257
3/15/2022,34-49,65.3806,-147.6189
3/15/2022,34-50,65.3899,-147.1492
3/15/2022,34-51,65.3805,-147.1146
3/15/2022,34-52,65.3960,-147.1942
3/15/2022,34-53,65.3802,-147.1155
3/15/2022,34-54,65.3925,-147.3152
3/15/2022,34-55,65.3805,-147.4474
3/15/2022,34-56,65.3931,-147.1666
3/15/2022,34-57,65.3810,-147.4235
3/15/2022,34-59,65.3814,-147.4364
3/15/2022,34-61,65.3870,-147.3275
3/15/2022,34-63,65.3846,-147.3676
3/15/2022,34-64,65.3832,-147.4120
3/15/2022,34-65,65.3924,-147.2907
3/15/2022,34-66,65.3814,-147.4416
3/15/2022,34-67,65.3780,-147.4542
3/15/2022,34-68,65.3955,-147.2153
3/15/2022,34-69,65.3877,-147.3256
3/15/2022,34-70,65.3778,-147.4553
3/15/2022,34-71,65.3824,-147.4153
3/15/2022,34-72,65.4647,-147.6929
3/15/2022,34-75,65.3795,-147.6216
3/15/2022,34-78,65.3959,-147.8067
3/15/2022,34-79,65.3918,-147.7788
3/15/2022,34-81,65.5476,-147.6793
3/15/2022,34-83,65.3987,-147.8374
3/15/2022,34-84,65.4607,-147.7039
3/15/2022,34-85,65.8038,-146.6431
3/15/2022,34-86,65.5437,-147.6709
3/15/2022,34-87,65.5216,-147.6601
3/15/2022,34-88,65.4598,-147.7064
3/15/2022,34-89,65.3964,-147.8271
3/15/2022,34-90,65.4168,-147.8143
3/15/2022,34-91,65.7258,-147.4088
3/15/2022,34-92,65.5216,-147.6601
3/15/2022,34-93,65.3928,-147.2910
3/15/2022,34-94,65.4845,-147.6465
3/15/2022,34-95,65.5096,-147.6468
3/15/2022,34-96,65.5046,-147.6468
3/15/2022,34-97,65.5481,-147.6810
3/15/2022,34-98,65.6034,-147.6583
3/15/2022,34-99,65.6067,-147.6458
3/15/2022,34-100,65.5400,-147.6696
3/15/2022,34-102,65.5599,-147.6873
3/15/2022,34-103,65.5779,-147.6857
3/15/2022,34-104,65.5261,-147.6582
3/15/2022,34-105,65.5797,-147.6838
3/15/2022,34-106,65.6018,-147.6604
3/15/2022,34-107,65.7084,-147.4562
3/15/2022,34-108,65.6565,-147.5648
3/15/2022,34-109,65.6371,-147.6137
3/15/2022,34-110,65.6671,-147.5451
3/15/2022,34-111,65.6367,-147.6150
3/15/2022,34-112,65.6567,-147.5615
3/15/2022,34-113,65.6564,-147.5690
3/15/2022,34-114,65.7485,-146.8466
3/15/2022,34-116,65.6819,-147.5036
3/15/2022,34-117,65.6685,-147.5424
3/15/2022,34-118,65.6506,-147.5825
3/15/2022,34-119,65.6829,-147.5023
3/15/2022,34-120,65.6927,-147.4823
3/15/2022,34-121,65.6779,-147.5115
3/15/2022,34-122,65.7164,-147.4399
3/15/2022,34-124,65.7280,-146.9916
3/15/2022,34-125,65.7306,-147.3240
3/15/2022,34-126,66.1028,-146.0993
3/15/2022,34-127,65.7518,-147.1736
3/15/2022,34-128,65.7551,-147.1710
3/15/2022,34-129,65.7364,-147.0675
3/15/2022,34-130,65.72872,-147.05138
3/15/2022,34-131,65.9448,-146.3072
3/15/2022,34-133,65.7605,-146.8071
3/15/2022,34-134,65.7276,-147.0110
3/15/2022,34-135,66.2191,-146.0655
3/15/2022,34-136,66.0451,-146.1700
3/15/2022,34-139,65.7925,-146.6888
3/15/2022,34-141,65.3937,-147.2200
3/15/2022,34-144,65.4488,-147.7507
3/15/2022,34-145,65.3960,-147.1942
3/15/2022,34-146,65.3904,-147.1508
3/15/2022,34-148,65.3918,-147.2254
3/15/2022,34-149,65.3809,-147.6881
3/15/2022,34-150,65.3826,-147.5821
3/15/2022,34-151,65.3913,-147.2305
3/15/2022,34-152,65.3808,-147.4273
3/15/2022,34-154,65.3804,-147.6979
3/15/2022,34-155,65.3931,-147.2214
3/15/2022,34-156,65.3936,-147.2910
3/15/2022,34-158,65.3784,-147.4532
3/15/2022,34-160u,65.4037,-147.0396
4/22/2022,34-11,65.4242,-147.7930
4/22/2022,34-12,65.3935,-147.2301
4/22/2022,34-13,65.3921,-147.1425
4/22/2022,34-14,65.3955,-147.1743
4/22/2022,34-15,65.4040,-147.0503
4/22/2022,34-18,65.3800,-147.4627
4/22/2022,34-22,65.3936,-147.2386
4/22/2022,34-23,65.3473,-146.9772
4/22/2022,34-24,65.3949,-147.2090
4/22/2022,34-26,65.3938,-147.2245
4/22/2022,34-27,65.3895,-147.2693
4/22/2022,34-28,65.3804,-147.6976
4/22/2022,34-29,65.7217,-147.4191
4/22/2022,34-31,65.3899,-147.2669
4/22/2022,34-33,65.3958,-147.1802
4/22/2022,34-34,65.3816,-147.6109
4/22/2022,34-35,65.3806,-147.1109
4/22/2022,34-36,65.3842,-147.4017
4/22/2022,34-37,65.7048,-147.4599
4/22/2022,34-38,65.3805,-147.7123
4/22/2022,34-39,65.3899,-147.2813
4/22/2022,34-40,65.3948,-147.2104
4/22/2022,34-41,65.3895,-147.3237
4/22/2022,34-42,65.3958,-147.1935
4/22/2022,34-43,65.3500,-146.9921
4/22/2022,34-44,65.4052,-147.0425
4/22/2022,34-45,65.3954,-147.2020
4/22/2022,34-46,65.3924,-147.2604
4/22/2022,34-47,65.3911,-147.1428
4/22/2022,34-48,65.3777,-147.6331
4/22/2022,34-49,65.3805,-147.6208
4/22/2022,34-51,65.3797,-147.1087
4/22/2022,34-52,65.3941,-147.1582
4/22/2022,34-53,65.3835,-147.1163
4/22/2022,34-54,65.3910,-147.3197
4/22/2022,34-55,65.3815,-147.4187
4/22/2022,34-56,65.3899,-147.1536
4/22/2022,34-57,65.3805,-147.4365
4/22/2022,34-58,65.3808,-147.4288
4/22/2022,34-59,65.3807,-147.4340
4/22/2022,34-61,65.3872,-147.3308
4/22/2022,34-62,65.3928,-147.2968
4/22/2022,34-63,65.3833,-147.3732
4/22/2022,34-64,65.3815,-147.4187
4/22/2022,34-65,65.3892,-147.2759
4/22/2022,34-66,65.3806,-147.4352
4/22/2022,34-67,65.3793,-147.4436
4/22/2022,34-68,65.3959,-147.1847
4/22/2022,34-69,65.3918,-147.3177
4/22/2022,34-70,65.3798,-147.4601
4/22/2022,34-71,65.3840,-147.3990
4/22/2022,34-72,65.4623,-147.6928
4/22/2022,34-75,65.3798,-147.6243
4/22/2022,34-76,65.3818,-147.7258
4/22/2022,34-78,65.3950,-147.8096
4/22/2022,34-79,65.3918,-147.7826
4/22/2022,34-81,65.5484,-147.6857
4/22/2022,34-83,65.4005,-147.8306
4/22/2022,34-84,65.4603,-147.7009
4/22/2022,34-85,65.8060,-146.6411
4/22/2022,34-86,65.5474,-147.6847
4/22/2022,34-87,65.4637,-147.6894
4/22/2022,34-88,65.4590,-147.7045
4/22/2022,34-89,65.3983,-147.8268
4/22/2022,34-90,65.4172,-147.8127
4/22/2022,34-91,65.7238,-147.4006
4/22/2022,34-92,65.5341,-147.6645
4/22/2022,34-93,65.3895,-147.2786
4/22/2022,34-94,65.4832,-147.6498
4/22/2022,34-95,65.5261,-147.6591
4/22/2022,34-96,65.5366,-147.6673
4/22/2022,34-97,65.5484,-147.6856
4/22/2022,34-98,65.6049,-147.6526
4/22/2022,34-99,65.6058,-147.6514
4/22/2022,34-102,65.5603,-147.6877
4/22/2022,34-103,65.5744,-147.6847
4/22/2022,34-104,65.5266,-147.6593
4/22/2022,34-105,65.5837,-147.6791
4/22/2022,34-106,65.5849,-147.6767
4/22/2022,34-107,65.7066,-147.4556
4/22/2022,34-108,65.6566,-147.5614
4/22/2022,34-109,65.6344,-147.6076
4/22/2022,34-110,65.6647,-147.5454
4/22/2022,34-111,65.6340,-147.6083
4/22/2022,34-112,65.6583,-147.5570
4/22/2022,34-113,65.6442,-147.5870
4/22/2022,34-114,65.7476,-146.8501
4/22/2022,34-116,65.6816,-147.5077
4/22/2022,34-117,65.6713,-147.5306
4/22/2022,34-119,65.6811,-147.5096
4/22/2022,34-120,65.6946,-147.4820
4/22/2022,34-121,65.6759,-147.5224
4/22/2022,34-125,65.7290,-147.3264
4/22/2022,34-126,66.0846,-146.1293
4/22/2022,34-127,65.7510,-147.1689
4/22/2022,34-128,65.7480,-147.1760
