"","n","n_Lower","n_Middle","n_Upper","n_Headwaters","p_Lower","p_Middle","p_Upper","p_Headwaters"
"2021 Tagging",149,12,51,21,65,"0.08 (0.02)","0.34 (0.04)","0.14 (0.03)","0.44 (0.04)"
"2022 Overwintering",131,12,47,63,9,"0.09 (0.03)","0.36 (0.04)","0.48 (0.04)","0.07 (0.02)"
"2022 Spring Spawning",114,11,43,46,14,"0.1 (0.03)","0.38 (0.05)","0.4 (0.05)","0.12 (0.03)"
"2022 Oversummering",111,6,41,27,37,"0.05 (0.02)","0.37 (0.05)","0.24 (0.04)","0.33 (0.04)"
"2023 Overwintering",71,4,24,34,9,"0.06 (0.03)","0.34 (0.06)","0.48 (0.06)","0.13 (0.04)"
"2023 Spring Spawning",84,11,29,28,16,"0.13 (0.04)","0.35 (0.05)","0.33 (0.05)","0.19 (0.04)"
"2023 Oversummering",62,3,21,20,18,"0.05 (0.03)","0.34 (0.06)","0.32 (0.06)","0.29 (0.06)"
