"","0_2021_Tagging to 1_2022_Overwintering","1_2022_Overwintering to 2_2022_Spring_Spawning","2_2022_Spring_Spawning to 3_2022_Oversummering","3_2022_Oversummering to 4_2023_Overwintering","4_2023_Overwintering to 5_2023_Spring_Spawning","5_2023_Spring_Spawning to 6_2023_Oversummering"
"11",92.404069639134,4.6001387187954,0.0817606186419234,NA,NA,1.63845673564676
"12",46.0443032650217,NA,NA,NA,NA,NA
"13",38.3198093726222,6.89366051505557,31.4337865183734,NA,NA,NA
"14",39.8765054920859,4.95394758484042,44.8304530769263,41.7099700529446,5.38981662266766,12.3098572582584
"15",42.2852395808649,0.0775560178741398,NA,NA,NA,NA
"16",8.70251798240253,NA,NA,NA,NA,NA
"17",45.7428068378364,39.067075586366,NA,NA,NA,NA
"18",28.8311030979861,0,0.220511412731099,0.118835829317768,0.239347242048862,0.127225937521864
"19",16.5133452426608,NA,NA,35.2184293228039,68.2458894475519,NA
"21",38.8181058789458,NA,NA,0.965718762054519,0,7.93689393909838
"22",39.0432410449985,24.6339945461715,10.7867297335733,NA,NA,NA
"23",13.3037780748861,4.24512302530665,6.54900803558036,0.0162078227683032,0.351789165133235,NA
"24",30.2722766230188,43.0252852595347,66.9351938221957,19.1672140016856,0.30276924446448,0.187713846243119
"25",101.547199264497,NA,NA,NA,NA,NA
"26",18.5198361373899,50.4109361294864,68.8385243201331,0.114678064974516,0.187747867621769,0.541078886184941
"27",39.7586830963125,7.00832194994279,6.82530846021982,NA,NA,NA
"28",69.9167845433816,4.47828120644241,35.8093782486302,2.15549346861623,NA,NA
"29",136.77200478613,41.8848940413991,164.843006836373,NA,NA,144.150894868887
"30",54.6301746757406,1.96500936491441,55.1449827901783,52.1905084271853,NA,NA
"31",33.5492653252193,25.0195118892006,58.6050759467271,NA,NA,NA
"32",25.9857207988754,NA,NA,NA,NA,NA
"33",21.2211958668787,58.1787941188527,94.9568589538961,43.8293919144876,30.2091582164711,NA
"34",60.3466500220603,2.23581360862305,2.85752838246568,0.0990336795719286,NA,NA
"35",24.9131789561601,0.158367935595616,0.439769324181842,0.347483398847016,0,0.321167637537016
"36",46.2476090672147,2.26005425166846,24.6859753973583,NA,NA,NA
"37",129.79603833762,3.75399045565428,125.944751803968,130.593712434723,0.951465704664148,96.9514026121382
"38",63.4483326637041,6.17461409039865,57.0376490246912,NA,NA,55.4761521955984
"39",29.2918401165976,33.5126166472292,NA,NA,NA,NA
"40",26.8145992794546,16.6867663779798,9.79633709464551,24.9160332379305,11.0091507467122,13.9654688871461
"41",32.5911931918797,13.6314221616663,18.9597710302134,NA,NA,0.246259863191651
"42",24.7679761264181,8.16637825940368,33.2257335298134,NA,NA,30.5134083487157
"43",0.297592112720011,1.76249298871631,1.37265292925316,NA,NA,NA
"44",18.0303844303732,0,0.0356832268966273,0.719759696725509,0.0913137589570479,0.846756682579184
"45",19.6504414690735,7.45405239528171,26.8936004247526,19.7540477531466,0.4618917768791,0.302011198544972
"46",17.6015488701681,43.6141715798966,61.7905453080163,20.2490207954351,46.752824934374,66.4270208718575
"47",17.0691572531111,7.41732387927563,0.049528025526377,NA,NA,NA
"48",50.2559488281322,22.8389146530604,NA,NA,NA,NA
"49",71.0129172522542,18.3545454406249,89.367462692879,NA,NA,83.3738838822059
"50",6.50809647757656,12.1474086506899,13.0679160126332,2.39455932509551,0.730193585638577,0.140820443828316
"51",0.861487226365897,0.960520556230141,0.960520556230141,0.321167637537016,0.413453562871842,0.0148790043822746
"52",6.51239140753237,6.34101024934838,0.162661141324372,7.21999301527407,7.49095943163685,0.285845420745055
"53",0.587290243558149,0.0602056188220495,0.221167637537008,0.620608686432707,0.0495116473719145,NA
"54",13.2192808761081,38.4284301323461,94.4828205733138,49.7872066781002,48.4964154999997,88.0029807681853
"55",24.2549179625859,25.867368497131,52.6501713134238,NA,NA,NA
"56",4.47061196456869,0.553301307933586,8.24694888896768,10.5079873403566,6.17834910802404,6.70977954464122
"57",17.9598244472593,5.63642637300015,11.3538498961234,14.3343087093959,12.8049967565906,NA
"58",17.2172287344652,2.50322070634213,15.6684542097489,0.282528179154355,NA,NA
"59",11.502889133809,31.6974731088013,43.381157739259,NA,NA,NA
"61",0.307544809072276,1.53035730788684,1.24569920490214,0.830221944370845,0.737296751279732,0.0929251930911119
"62",2.32771954308808,NA,NA,NA,NA,NA
"63",2.24440600828665,37.2330892206292,42.4275755740024,0.584376122132073,NA,NA
"64",0.662970411152432,0.143768107612535,0.519202303539896,0.199536819320472,0.491255305837943,0.191718486517502
"65",9.58820076824555,0.258734713250755,0.303363851109709,0.583619374292872,0.680080588145281,0.680080588145282
"66",0.108919326160771,11.8745062657417,10.660297492948,0.755183349764764,0.151073000738468,0.387845143934457
"67",1.09473607715164,0.844629980283529,0.919751083656889,0.175121103373343,0,0.258540257358676
"68",16.8892880295398,12.5924640823694,5.31307279343931,NA,NA,NA
"69",10.6990853477463,11.3597744145804,17.0436655658903,NA,NA,NA
"70",0.650135697352702,0.895702981021912,0.24556728366921,0.0999999999999436,0.345567283669154,0.24556728366921
"71",7.62818120594184,4.87726669739296,17.0964560013223,13.226981947111,34.3946374550195,NA
"72",27.0463058720356,29.5899426802639,41.6007089167921,53.8470923605304,34.9411229664195,19.9848697881786
"75",7.14475035872775,20.1613938398898,12.7801395707876,NA,NA,27.2547058724205
"76",0.976922044962903,0.20074440957013,0.20074440957013,0.327462361027036,0.266667611005063,0.0991011984275883
"78",2.44118260540643,0.570461118872448,NA,NA,NA,NA
