"","Fish","Length_mm","n_surveys","homerange_km","cumuldist_km","winter22winter23_km","spring22spring23_km","summer21summer22_km","summer22summer23_km","summer21summer23_km","winter_section","spring_section","summer_section","winter_designation","spring_designation","summer_designation","mn_upstream_km","mn_winter_upstream_km","mn_spring_upstream_km","mn_summer_upstream_km"
"127",127,286,8,38.682631884222,70.5970191671429,NA,NA,7.23602035522879,NA,NA,"Middle","Lower","Lower/Middle","Mainstem","Mainstem","Mainstem",310.400817211349,322.79311189313,284.344367885872,318.394709270901
"128",128,290,9,2.59874869287667,9.52618133936941,0,NA,0.237800033001222,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",322.084763766503,321.894439414461,321.2172608155,322.131619465016
"129",129,312,12,13.4410438099027,42.0404524500932,0.289361125388253,1.39243381321331,0.130316452673039,NA,NA,"Lower","Lower","Lower","Mainstem","Mainstem","Mainstem",313.895414126989,314.024983689635,306.663802291852,319.035029519118
"130",130,308,4,5.90582225141425,6.15443101521963,NA,NA,NA,NA,NA,"Lower",NA,"Lower","Mainstem",NA,"Mainstem",314.689808986124,313.312657805173,NA,318.969871292782
"131",131,309,5,78.8648261412088,228.387929200604,7.86405211664176,NA,0.274634406938377,NA,NA,"Lower",NA,"Lower","Mainstem",NA,"Mainstem",274.236685038544,244.311705616832,NA,319.107188496251
"132",132,370,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower",NA,NA,"Mainstem",314.845735933404,NA,NA,314.845735933404
"133",133,308,8,22.1115400952026,32.9334508116609,0.671204942007348,0.250068820366931,NA,NA,NA,"Lower","Lower","Lower","Mainstem","Mainstem","Mainstem",297.674503632561,297.270671209872,292.859230248385,314.845735933404
"134",134,309,12,5.35037951062869,21.2050599632112,NA,4.82795525762633,0.323766094312062,0.207263183827196,0.116502910484865,"Lower","Lower","Lower","Mainstem","Mainstem","Mainstem",313.395477380465,310.837643140898,312.107992210279,314.698979598472
"135",135,312,9,123.326836810178,324.659177448228,NA,15.5871145147028,1.38668337160552,71.3595199317852,72.7462033033907,"Lower","Lower","Lower","Mainstem","Mainstem","Mainstem",239.196562489961,190.428281077948,226.687866924105,284.135740345066
"136",136,283,2,80.3684018123589,80.3684018123589,NA,NA,NA,NA,NA,"Lower",NA,"Lower","Mainstem",NA,"Mainstem",268.662501663885,228.478300757705,NA,308.846702570064
"137",137,281,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower",NA,NA,"Mainstem",307.076266470253,NA,NA,307.076266470253
"138",138,311,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower",NA,NA,"Mainstem",305.428443584995,NA,NA,305.428443584995
"139",139,295,4,18.0775152099761,18.0775152099761,NA,NA,NA,NA,NA,"Lower",NA,"Lower","Mainstem",NA,"Mainstem",292.040655104588,287.550928375019,NA,305.428443584995
"140",140,310,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lower",NA,NA,"Mainstem",303.382422500691,NA,NA,303.382422500691
"141",141,340,12,106.735874749446,401.568816658514,NA,20.5085686693485,0.121498773819707,2.93286207107886,2.81136329725916,"Upper","Middle/Upper","Headwaters","Mainstem","Mainstem/Trib","Headwaters",449.526342374536,445.293576708068,409.096306763278,493.168730536651
"142",142,337,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Headwaters",NA,NA,"Headwaters",494.065352044465,NA,NA,494.065352044465
"143",143,320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Headwaters",NA,NA,"Headwaters",494.065352044465,NA,NA,494.065352044465
"144",144,305,11,102.317607522566,104.517304907425,0.431276202584588,0.0999999999999054,101.983207276354,0.0817606186419234,102.064967894996,"Middle","Middle","Headwaters/Middle","Mainstem","Mainstem","Headwaters/Mainstem",401.407365397941,392.126894887418,392.132144768111,426.049293654015
"145",145,285,3,48.8814399090109,50.2392327888518,NA,NA,NA,NA,NA,"Upper",NA,"Headwaters","Mainstem",NA,"Headwaters",461.930323065071,446.541705015295,NA,494.065352044465
"146",146,286,13,45.6669315077447,51.219727773044,0.0307383906998983,1.18758711903689,42.7923756998035,0.385872377656903,43.1782480774604,"Upper","Headwaters/Upper","Headwaters/Upper","Mainstem","Headwaters/Mainstem","Headwaters/Mainstem",454.062643768103,450.684020925411,450.50645596348,465.408477452043
"147",147,398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Headwaters",NA,NA,"Headwaters",493.503820238763,NA,NA,493.503820238763
"148",148,286,7,95.9563266856537,97.9617889576548,NA,NA,95.9563266856537,NA,NA,"Upper","Upper","Headwaters/Upper","Mainstem","Trib","Headwaters/Trib",438.345288007597,445.967957010078,411.422919575964,456.248604940021
"149",149,313,13,90.6874653367329,144.831614947468,44.9401279559644,53.4615104492257,38.155881261737,0.702379987060151,37.4535012746768,"Headwaters/Upper","Headwaters/Middle","Headwaters","Headwaters/Mainstem","Headwaters/Mainstem","Headwaters",439.704300834996,433.580254986103,429.547110126642,468.300692726625
"150",150,274,13,96.3974533522526,153.222848441106,28.5590687338401,51.9074677617296,44.3869352210474,0.385292298413046,44.0016429226344,"Upper","Upper","Headwaters/Upper","Mainstem","Mainstem/Trib","Headwaters/Mainstem",439.417822706996,434.550140994034,434.224175478059,464.040960857535
"151",151,410,13,111.815345035626,427.377452844492,11.2499881983423,35.2813891895928,0.168364312015989,0.202213679292108,0.0338493672761197,"Upper","Middle/Upper","Headwaters","Mainstem","Mainstem","Headwaters",442.246299322307,439.112304427508,398.643738396888,492.694862840615
"152",152,351,12,94.8639191268001,259.465431942969,2.40322070634212,24.8739083442443,6.03033767482146,NA,NA,"Upper","Upper","Headwaters","Mainstem","Mainstem/Trib","Headwaters",444.10173986252,430.92188680692,420.707395769316,495.615232298023
"153",153,340,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Headwaters",NA,NA,"Headwaters",492.600063460612,NA,NA,492.600063460612
"154",154,307,6,95.8881302035179,104.167550045487,NA,NA,NA,NA,NA,"Upper","Middle","Headwaters","Mainstem","Mainstem","Headwaters",418.732983819046,409.87437562692,396.711933257095,492.600063460612
"155",155,270,13,64.7486607642809,192.943922973099,0,2.7255575780899,8.28360878612291,23.8408098803429,29.123064198506,"Upper","Upper","Headwaters","Mainstem","Mainstem","Headwaters",455.907393017591,445.685134483346,438.727248324014,481.131623955056
"156",156,297,14,46.9418148306511,56.7079216628425,0.0839453369785333,0.589368361358236,45.9577258981221,NA,NA,"Upper","Upper","Headwaters/Upper","Trib","Mainstem","Headwaters/Trib",444.372448463707,441.050323438454,441.153640464698,463.83781923308
"157",157,271,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Headwaters",NA,NA,"Headwaters",486.364421021053,NA,NA,486.364421021053
"158",158,310,6,104.67505121982,104.67505121982,NA,NA,104.67505121982,NA,NA,"Upper","Upper","Headwaters/Upper","Mainstem","Trib","Headwaters/Trib",437.191050920931,427.494312076337,417.147757896606,460.607967207104
"159",159,278,10,53.7338249162813,60.5317441073066,2.55416749364516,0.238188871927628,53.3751246316227,0.35870028465868,53.7338249162813,"Upper","Upper","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Mainstem",433.67350245438,430.050172329846,427.550338743747,445.341574628699
"160",160,375,4,23.0924272350444,23.7440232816327,NA,NA,NA,NA,NA,"Headwaters",NA,"Headwaters","Headwaters",NA,"Headwaters",464.4761082546,457.952130576289,NA,481.044557811333
