"","Fish","Length_mm","n_surveys","homerange_km","cumuldist_km","winter22winter23_km","spring22spring23_km","summer21summer22_km","summer22summer23_km","summer21summer23_km","winter_section","spring_section","summer_section","winter_designation","spring_designation","summer_designation","mn_upstream_km","mn_winter_upstream_km","mn_spring_upstream_km","mn_summer_upstream_km"
"21",21,326,7,43.1612967693784,52.611175048544,1.30271769591892,NA,38.4811069450814,8.9026127011529,33.7114184902127,"Headwaters","Headwaters","Headwaters/Upper","Headwaters","Headwaters","Headwaters/Mainstem",460.334373377795,457.602087435297,456.950728587338,463.218511712028
"22",22,364,7,39.6539109999688,75.685305234684,NA,NA,3.62251676525365,NA,NA,"Upper","Headwaters","Headwaters","Mainstem","Headwaters","Headwaters",463.540418687849,444.737298526679,469.371293072851,481.969281189051
"23",23,265,10,13.6060630058367,25.9918770476904,10.7779232381187,6.18101104767882,2.50964701399912,NA,NA,"Headwaters","Headwaters","Headwaters","Headwaters","Headwaters","Headwaters",471.850778302491,470.862520865296,472.809187795382,477.522513814123
"24",24,302,14,73.3338606148607,176.170443259211,4.74269456097542,48.0707490649746,6.36236806035779,19.0521586034642,25.414526663822,"Upper","Middle/Upper","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Mainstem",447.423549213245,448.212987442052,426.851729434517,465.52161854319
"25",25,265,2,101.547199264497,101.547199264497,NA,NA,NA,NA,NA,"Middle",NA,"Headwaters","Mainstem",NA,"Headwaters",432.834255784447,382.060656152198,NA,483.607855416695
"26",26,310,13,69.0307722668764,142.891507959361,18.3129101256723,68.9115941227804,0.0922479467431458,0.468009083537689,0.560257030280834,"Headwaters/Upper","Headwaters/Upper","Headwaters","Headwaters/Mainstem","Headwaters/Trib","Headwaters",452.554631879747,454.34036719829,442.726238658585,463.486246613836
"27",27,253,9,51.7975537989661,56.1343394770668,NA,NA,49.9117093880571,NA,NA,"Upper","Upper","Headwaters/Upper","Mainstem","Trib","Headwaters/Trib",450.921528919277,439.01865422481,446.026976174753,465.814810978047
"28",28,351,7,70.0868570449365,112.70008247018,42.4431529236888,NA,29.629125088309,NA,NA,"Headwaters/Upper","Upper","Headwaters/Upper","Headwaters/Mainstem","Mainstem","Headwaters/Mainstem",433.767725596558,431.914213778153,415.170918522751,465.794859315536
"29",29,247,13,191.327006752499,649.514723122376,NA,6.75615647987136,39.1541078410954,13.9359554876145,27.749847478771,"Middle","Lower","Headwaters/Upper","Mainstem","Mainstem","Headwaters/Mainstem",368.245185029849,340.792291901377,302.285476099914,463.709716864198
"30",30,248,9,56.595184040655,163.930675258019,0.989464998078536,NA,1.45020125047675,NA,NA,"Upper","Upper","Headwaters","Mainstem","Mainstem","Headwaters",449.995212308822,429.472413239994,427.01267137604,482.882754791457
