"","0 to 1","1 to 2","2 to 3","3 to 4","4 to 5","5 to 6","6 to 7","7 to 8","8 to 9","9 to 10","10 to 11","11 to 12","12 to 13","13 to 14"
"11",92.0329618594953,0.371107779638727,0.0999999999999436,3.67925844077812,0.820880278017332,0.558700357242524,0.4769397386006,0.0891273633427554,1.0247051449624,NA,NA,NA,0.784639572668988,1.63845673564676
"12",48.8189276113269,2.77462434630526,2.01721187669495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,0.571672318577923,6.32198819647765,0.593078016411706,27.2694166019671,3.57129189999464,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,0.0999999999999795,1.93346456085869,3.02048302398172,16.532598219078,28.1835480245013,0.114306833347008,39.7031531664506,2.006816886494,NA,NA,12.5957026790035,0.285845420745055
"15",43.578033514518,NA,NA,0.0775560178741398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",8.70251798240253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",45.7428068378364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,0.138188871927645,0,0,0.0630677685542851,0.283579181285384,0.198061519011933,0.191346994221163,0.112121304526998,NA,NA,0.318572931743027,0.127225937521864
"19",16.5133452426608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",41.0948346462363,2.27672876729045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.93689393909838
"22",36.8430343834639,2.20020666153462,0.610669954970309,25.2446645011418,6.30035000453965,4.48637972903366,NA,NA,NA,NA,NA,NA,NA,NA
"23",13.5880679569012,0.284289882015048,0.302284930950558,4.72381860529945,0.176410649042243,6.14501920367644,0.403988831903917,NA,NA,NA,NA,NA,NA,NA
"24",31.9872882128742,1.74132843836917,0.0263168485137112,38.5402353247157,4.485049934819,18.3323885996512,48.6028052225445,6.39866679266503,4.39686931838115,21.1690114759694,NA,NA,0,0.187713846243119
"25",101.547199264497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",19.6906486460645,1.85485738329892,0.684044874624321,27.6387725652905,22.7721635641959,NA,NA,0.0730698026472528,0.0922479467431458,0.206926011717662,NA,NA,0.119178144095993,0.541078886184941
"27",NA,NA,3.00462324595418,3.28491341420446,3.0474276632745,4.96089303289913,1.90995777902065,0.0455423516999654,0.122298893701358,NA,NA,NA,NA,NA
"28",NA,NA,0.1700725015549,4.47828120644241,NA,NA,35.7178471203622,NA,NA,NA,NA,NA,NA,NA
"29",135.368279594926,1.40372519120433,0.352236533740033,42.2371305751391,6.6027709424558,0.38556539610457,158.625801290022,1.62216760027333,115.407876258579,NA,NA,NA,42.2075406843473,144.150894868887
"30",53.8875789629466,0.742595712794056,NA,NA,1.86500936491442,29.0085901184737,24.2713833067901,0.407978879894921,51.7825295472904,NA,NA,NA,NA,NA
"31",30.720340076515,2.82892524870428,0.541373988599877,8.75936417099949,15.7187737296012,11.4985784980758,47.1064974486512,NA,NA,NA,NA,NA,NA,NA
"32",25.9857207988754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",21.7855349655728,0.564339098694136,0.920217033271937,39.5226854562878,19.5763256958369,30.5174782843563,NA,NA,35.6578478017715,8.17154411271609,NA,NA,23.3423835543779,NA
"34",58.4866197907722,1.86003023128812,0,2.23581360862305,2.63842837494052,0.199999999999962,NA,NA,NA,NA,0.318133687097086,NA,NA,NA
"35",NA,NA,0.143488931213341,0.298574558489559,0.313453562871834,0.253247944049785,0.35324794404977,0.539769324181827,0.223908168538697,0.571391567385714,NA,NA,0.0774069209525514,0.321167637537016
"36",NA,NA,0,NA,NA,1.12679678561781,23.5591786117405,0.0973490984865894,0.0896657677802395,NA,NA,NA,0.145455860770922,NA
