"","Median Distance (rkm)","Proportion < 0.5 rkm","Proportion < 3 rkm","Proportion < 15 rkm","Median (Distance / Homerange)","Proportion < 5% of Homerange"
"Winter 2022 - Winter 2023",0.998628820630086,0.328571428571429,0.728571428571429,0.9,0.0597959540344892,0.457142857142857
"Spring 2022 - Spring 2023",2.49744558838792,0.205128205128205,0.512820512820513,0.794871794871795,0.171801348527969,0.358974358974359
"Summer 2021 - Summer 2022",1.169857180525,0.387387387387387,0.558558558558559,0.720720720720721,0.0915055902300391,0.378378378378378
"Summer 2022 - Summer 2023",0.35870028465868,0.639344262295082,0.836065573770492,0.885245901639344,0.0128355112219496,0.655737704918033
"Summer 2021 - Summer 2023",0.984698400690774,0.387096774193548,0.532258064516129,0.645161290322581,0.0779960527887094,0.419354838709677
