"","n","n_Mainstem","n_Tributary","n_Headwaters","p_Mainstem","p_Tributary","p_Headwaters"
"2021 Tagging",149,84,0,65,"0.56 (0.04)","0 (0)","0.44 (0.04)"
"2022 Overwintering",131,119,3,9,"0.91 (0.03)","0.02 (0.01)","0.07 (0.02)"
"2022 Spring Spawning",114,83,17,14,"0.73 (0.04)","0.15 (0.03)","0.12 (0.03)"
"2022 Oversummering",111,59,15,37,"0.53 (0.05)","0.14 (0.03)","0.33 (0.04)"
"2023 Overwintering",71,60,2,9,"0.85 (0.04)","0.03 (0.02)","0.13 (0.04)"
"2023 Spring Spawning",84,60,8,16,"0.71 (0.05)","0.1 (0.03)","0.19 (0.04)"
"2023 Oversummering",62,42,2,18,"0.68 (0.06)","0.03 (0.02)","0.29 (0.06)"
