"","Median Distance (rkm)","Proportion < 3 rkm","Median (Distance / Homerange)","Proportion < 5% of Homerange"
"Winter 2022 - Winter 2023",0.998628820630086,0.728571428571429,0.0597959540344892,0.457142857142857
"Spring 2022 - Spring 2023",2.49744558838792,0.512820512820513,0.171801348527969,0.358974358974359
"Summer 2022 - Summer 2023",0.35870028465868,0.836065573770492,0.0128355112219496,0.655737704918033
